id,author,book,year
1,J.K. Rowling,Harry Potter and the Sorcerer? Stone,1997
2,George Orwell,1984,1949
3,Jane Austen,Pride and Prejudice,1813
4,Mark Twain,The Adventures of Huckleberry Finn,1885
5,F. Scott Fitzgerald,The Great Gatsby,1925
6,Ernest Hemingway,The Old Man and the Sea,1952
